Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
133,309,105,5,3.5,3.5,8.56,0,0.71
310,308,110,4,3.5,3.0,8.6,0,0.7
342,326,110,3,3.5,3.5,8.76,1,0.79
197,306,105,2,3.0,2.5,8.26,0,0.73
247,316,105,3,3.0,3.5,8.73,0,0.72
61,309,100,2,3.0,3.0,8.1,0,0.48
156,312,109,3,3.0,3.0,8.69,0,0.77
262,312,104,3,3.5,4.0,8.09,0,0.71
142,332,118,2,4.5,3.5,9.36,1,0.9
215,331,117,4,4.5,5.0,9.42,1,0.94
38,300,105,1,1.0,2.0,7.8,0,0.58
135,333,113,5,4.0,4.0,9.28,1,0.89
114,320,110,2,4.0,3.5,8.56,0,0.72
349,302,99,1,2.0,2.0,7.25,0,0.57
13,328,112,4,4.0,4.5,9.1,1,0.78
60,311,104,2,2.0,2.0,8.3,0,0.42
294,312,98,1,3.5,3.0,8.18,1,0.64
141,329,110,2,4.0,3.0,9.15,1,0.84
207,315,99,2,3.5,3.0,7.89,0,0.63
200,313,107,3,4.0,4.5,8.69,0,0.72
177,329,119,4,4.5,4.5,9.16,1,0.9
269,327,113,4,4.5,5.0,9.14,0,0.83
125,301,106,4,2.5,3.0,8.47,0,0.57
345,295,96,2,1.5,2.0,7.34,0,0.47
176,320,111,4,4.5,3.5,8.87,1,0.85
314,301,100,3,3.5,3.0,8.04,0,0.67
79,296,95,2,3.0,2.0,7.54,1,0.44
16,314,105,3,3.5,2.5,8.3,0,0.54
287,336,118,5,4.5,4.0,9.19,1,0.92
103,314,106,2,4.0,3.5,8.25,0,0.62
171,312,101,2,2.5,3.5,8.04,1,0.68
304,323,107,3,3.5,3.5,8.55,1,0.73
335,312,107,4,4.5,4.0,8.65,1,0.73
226,296,99,2,2.5,2.5,8.03,0,0.61
66,325,112,4,3.5,3.5,8.92,0,0.55
77,327,112,3,3.0,3.0,8.72,1,0.74
91,318,106,2,4.0,4.0,7.92,1,0.64
174,323,113,4,4.0,4.5,9.23,1,0.89
180,307,102,3,3.0,3.0,8.27,0,0.73
400,333,117,4,5.0,4.0,9.66,1,0.95
101,322,107,3,3.5,3.5,8.46,1,0.71
323,314,107,2,2.5,4.0,8.27,0,0.72
7,321,109,3,3.0,4.0,8.2,1,0.75
2,324,107,4,4.0,4.5,8.87,1,0.76
298,320,120,3,4.0,4.5,9.11,0,0.86
55,322,110,3,3.0,3.5,8.0,0,0.7
375,315,105,2,2.0,2.5,7.65,0,0.39
256,307,110,4,4.0,4.5,8.37,0,0.79
159,306,106,2,2.0,2.5,8.14,0,0.61
234,304,100,2,2.5,3.5,8.07,0,0.64
248,311,104,2,2.5,3.5,8.48,0,0.71
145,325,112,2,3.0,3.5,8.96,1,0.8
295,316,101,2,2.5,2.0,8.32,1,0.61
172,334,117,5,4.0,4.5,9.07,1,0.89
281,311,102,3,4.5,4.0,8.64,1,0.68
319,324,111,3,2.5,2.0,8.8,1,0.79
53,334,116,4,4.0,3.0,8.0,1,0.78
11,325,106,3,3.5,4.0,8.4,1,0.52
27,322,109,5,4.5,3.5,8.8,0,0.76
46,322,110,5,5.0,4.0,9.1,1,0.88
75,314,106,3,3.0,5.0,8.9,0,0.74
273,294,95,1,1.5,1.5,7.64,0,0.49
5,314,103,2,2.0,3.0,8.21,0,0.65
355,297,98,2,2.5,3.0,7.67,0,0.59
192,323,110,5,4.0,5.0,8.98,1,0.87
372,324,110,3,3.5,3.0,9.22,1,0.89
